KH1,0,無,0,1,東北,13,1.1,一年,有(日間),0,1,1,1
KH2,0,無,0,1,東,4,10.7,一年,無,0,0,0,0
KH3,0,無,0,1,西南,14,27.2,一年,有(全天),2391,1,1,1
KH4,0,無,0,1,北,13,5,一年,有(日間),1080,1,1,0
KH5,0,無,1,0,南,5,43.6,一年,無,0,0,0,0
KH6,0,1個/坡道*機械,0,1,西南,13,19.4,一年,有(全天),0,0,0,0
KH7,0,無,0,1,西,6,1.5,一年,無,1000,1,0,1
KH8,0,無,1,1,東南,12,29.5,一年,無,0,1,1,1
KH9,0,1個/坡道*平面,0,1,北,11,27.1,一年,有(全天),1352,0,0,0
KH10,0,1個/坡道*平面,0,1,東北,13,7,一年,有(全天),0,0,0,0
KH11,0,1個/坡道*機械,0,1,南,22,2.7,半年,無,0,1,1,1
KH12,0,1個/坡道*機械,0,1,西,14,2.6,一年,有(全天),2143,1,1,1
KH13,0,無,1,1,西北,5,42.4,一年,無,0,0,0,0
KH14,0,無,0,0,南,5,30.8,半年,無,0,0,0,0
KH15,0,無,0,1,北,14,8,一年,有(全天),1265,0,0,0
KH16,0,1個/坡道*平面,0,1,北,15,8,一年,有(全天),0,1,1,1
KH17,0,無,,0,南,4,9.4,半年,無,0,0,0,0
KH18,0,1個/坡道*平面,0,1,東,15,9.3,一年,有(全天),2213,1,0,0
KH19,0,無,0,1,北,16,29.9,半年,有(全天),1500,1,1,1
KH20,0,無,0,1,西北,3,29.9,半年,無,0,0,0,0
NT21,0,無,0,1,西北,17,28.8,一年,有(全天),0,0,0,1
NT22,0,1個/坡道*平面,0,1,南,15,7.4,一年,有(日間),3990,1,1,0
NT23,0,無,0,0,東北,7,9.1,一年,無,0,1,1,1
NT24,0,無,0,1,西南,4,29.9,半年,無,0,0,0,0
NT25,0,無,0,1,西南,19,13,半年,有(全天),1075,0,0,1
NT26,0,1個/坡道*平面,0,1,西南,15,9.1,一年,有(全天),0,0,0,0
NT27,0,無,0,0,北,18,9.1,一年,無,0,0,0,0
NT28,0,無,1,1,東北,15,0.6,半年,有(全天),3202,0,0,0
NT29,0,無,1,1,東北,15,0.6,一年,有(全天),3202,0,0,0
NT30,0,無,1,1,北,19,15.9,一年,有(全天),0,0,0,0
NT31,0,無,0,1,西南,12,37.4,一年,有(全天),1500,0,0,0
NT32,0,1個/坡道*平面,1,1,東南,15,0.4,一年,有(全天),0,0,0,0
NT33,0,1個/坡道*平面,0,1,北,21,37.4,一年,有(全天),0,0,0,0
NT34,0,1個/坡道*平面,0,1,西,14,6.4,一年,有(全天),3670,1,1,1
NT35,0,無,0,0,西,5,43.8,一年,無,0,0,0,0
NT36,0,1個/坡道*平面,0,1,西北,14,37.4,一年,有(全天),3300,0,0,0
NT37,0,無,0,1,東北,12,30.6,半年,有(日間),1260,1,1,1
NT38,0,無,0,1,東南,27,37.4,半年,有(全天),440,0,0,0
NT39,0,無,0,1,東,7,37.4,一年,無,0,1,1,1
NT40,0,無,0,1,北,7,32.3,一年,無,0,0,0,0
TP1,0,無,0,0,西,7,33.3,一年,無,0,0,0,0
TP2,0,無,0,1,北,6,26.1,一年,有(日間),1100,0,1,0
TP3,0,無,1,0,北,6,25.9,一年,無,1500,0,1,1
TP4,0,無,0,1,西南,11,10.7,一年,有(日間),3162,1,1,1
TP5,0,1個/塔式車位,0,1,南,14,17.1,一年,有(全天),4389,0,1,1
TP6,0,無,0,0,北,12,42.1,半年,有(全天),0,0,0,0
TP7,0,無,1,1,西北,5,35.1,半年,無,0,0,0,0
TP8,0,3個/坡道*平面,0,0,西北,7,26.5,一年,有(全天),11713,0,0,0
TP9,0,1個/坡道*機械,0,1,北,14,16,一年,無,0,0,0,0
TP10,0,1個/坡道*平面,0,0,西,16,41.8,一年,有(全天),11381,0,0,0
TP11,0,無,1,0,北,13,9.7,半年,無,南,1,1,1
TP12,0,無,0,1,西,12,5,半年,有(全天),1390,1,1,1
TP13,0,無,0,1,南,3,5,一年,無,0,0,0,0
TP14,0,1個/升降*平面,0,1,西南,12,5,一年,有(全天),5200,0,0,0
TP15,0,無,0,0,西,5,40.6,一年,無,0,0,0,0
TP16,0,無,1,0,北,7,5,半年,無,0,1,1,1
TP17,0,4個/坡道*平面,0,1,西南,10,23.5,半年,有(全天),18000,0,0,0
TP18,0,1個/坡道*平面,0,1,東,16,0.9,一年,有(全天),0,0,0,0
TP19,0,無,0,0,東,12,5,一年,有(日間),3887,0,0,0
TP20,0,2個/坡道*平面,0,0,西,27,30.9,一年,有(全天),28625,0,0,0
TN21,0,無,1,0,北,5,5,一年,無,0,0,0,0
TN22,0,無,0,0,北,4,5,一年,無,0,0,0,0
TN23,0,無,0,0,東南,7,33.6,一年,無,0,0,0,0
TN24,0,1個/坡道*平面,0,1,南,20,31.6,一年,有(全天),1750,0,0,1
TN25,0,1個/一樓平面,0,1,西,4,16.4,一年,無,0,0,0,0
TN26,0,無,0,1,東南,8,29.7,一年,有(日間),0,0,0,0
TN27,0,1個/坡道*平面,0,1,北,15,5,一年,有(全天),2500,1,1,1
TN28,0,1個/坡道*平面,0,1,西北,14,5,一年,有(全天),0,1,1,1
TN29,0,1個/坡道*平面,0,1,西北,14,5,一年,有(全天),0,1,1,1
TN30,0,無,0,1,西,4,54.9,一年,無,0,0,0,0
TN31,0,無,1,1,西北,4,29.2,一年,無,0,0,0,1
TN32,0,無,1,1,西,14,30,一年,有(全天),0,1,1,1
TN33,0,1個/坡道*平面,0,1,西,15,1.1,一年,有(全天),3441,1,1,1
TN34,0,1個/坡道*平面,0,1,西北,14,5,一年,有(全天),0,1,1,1
TN35,0,無,0,1,北,1,5,一年,無,0,0,0,0
TN36,0,無,0,0,東,3,5,一年,無,0,0,0,0
TN37,0,1個/坡道*機械,0,1,南,14,5,一年,有(全天),1231,1,0,1
TN38,0,1個/坡道*平面,0,1,西南,15,0.7,半年,有(全天),0,1,1,1
TN39,0,1個/坡道*平面,0,1,東南,15,0.7,半年,有(全天),0,1,1,1
TN40,0,無,1,1,南,7,30.3,一年,有(日間),1400,1,1,1
HC41,0,無,0,1,西北,12,24.9,一年,有(日間),1000,0,0,0
HC42,0,無,0,0,東南,5,5,一年,無,0,0,0,0
HC43,0,無,0,0,東南,5,5,半年,無,0,0,0,0
HC44,0,1個/坡道*平面,1,1,西南,13,19.6,半年,有(全天),1500,1,1,1
HC45,0,無,0,1,西南,5,5,半年,無,0,0,0,0
HC46,0,1個/坡道*平面,0,1,西北,15,5,半年,有(全天),0,1,0,1
HC47,0,1個/坡道*平面,0,1,西南,23,5,一年,有(全天),5917,1,1,1
