KH1,0,近陽明商圈舒適透天,6,1051,1
KH2,0,樹海首排正路金店面,6,1073,1
KH3,0,近鳳山醫院金店面,6,1092,1
KH4,0,三多商圈熱鬧店面,6,1029,1
KH5,0,美樹大悅景觀採光２房,6,1089,1
KH6,0,宏平商圈熱鬧醒目金住店,6,1020,1
KH7,0,近火車站溫馨四房附車位,6,1086,1
KH8,0,農１６輕軌黃金套房,6,1096,1
KH9,0,美術白天鵝美宅附平車,6,1075,1
KH10,0,衛武首席三房車位,6,1043,1
KH11,0,大眾財經高樓美辦,6,1062,1
KH12,0,文山藏美三房車位,6,1021,1
KH13,0,近衛武營三房平移車位,6,1023,1
KH14,0,九如一路熱鬧吃市金店,6,1047,1
KH15,0,近綠園道本業精美雙套房,6,1072,1
KH16,0,【六合】夜市面寬１樓店面,6,1078,1
KH17,0,美術館三房平車出租看過來,6,1061,1
KH18,0,遼寧一街只租一樓透店,6,1058,1
KH19,0,左營高鐵醒目三角窗店面,6,1096,1
KH20,0,鍾愛一生次高樓三房車位,6,1057,1
NT21,0,雙江翠高質感２房車位,2,1022,1
NT22,0,鉑翠三房公園綠景車位,2,1077,1
NT23,0,府中電梯家庭３房,2,1082,1
NT24,0,摩天鎮高樓三房平面車位,2,1045,1
NT25,0,景安電梯２房贊,2,1046,1
NT26,0,元氣大鎮高樓綠意景觀,2,1045,1
NT27,0,楓江黃金轉角大空間,2,1059,1
NT28,0,後站啟智街金店面,2,1097,1
NT29,0,芬第夏宮可戶籍報稅,2,1071,1
NT30,0,季園近捷運美屋,2,1059,1
NT31,0,副都心冠德風尚採光美屋,2,1048,1
NT32,0,美麗莊園全新裝潢溫馨美屋,2,1028,1
NT33,0,文青裝潢．高樓面公園２房,2,1030,1
NT34,0,春天悅灣一樓露臺戶,2,1044,1
NT35,0,屋主誠租大旭地兩房,2,1072,1
NT36,0,愛買旁大空間美寓,2,1030,1
NT37,0,近公園公車站電梯兩房,2,1047,1
NT38,0,紅樹林河景庭院別墅,2,1083,1
NT39,0,哈佛學園高樓三房附車位,2,1098,1
NT40,0,天生愛家大兩房,2,1065,1
TP1,0,復興北路昇揚面寬住辦,1,1040,1
TP2,0,柏園山莊稀有景觀別墅,1,1084,1
TP3,0,【推薦】ｙｅｓ世貿高樓層,1,1094,1
TP4,0,永大花園大廈３房,1,1046,1
TP5,0,士林劍潭管理辦公,1,1031,1
TP6,0,台大新生活稀有釋出,1,1059,1
TP7,0,捷運旁～有天有地森活透天,1,1091,1
TP8,0,翔譽１０１精品宅,1,1076,1
TP9,0,富錦林蔭亮麗店辦,1,1052,1
TP10,0,基隆路近喬治商職高樓Ａ,1,1056,1
TP11,0,基隆路近喬治商職辦公Ｂ,1,1095,1
TP12,0,陽明山清新景觀泳池別墅,1,1025,1
TP13,0,正復興南路面寬金店,1,1065,1
TP14,0,近芝山捷運店面珠寶盒,1,1090,1
TP15,0,⭐信義安和．坡平電梯四房,1,1076,1
TP16,0,士林太稀有金店面,1,1068,1
TP17,0,中山捷運一樓住辦,1,1089,1
TP18,0,”全新”心美齊三房車位,1,1034,1
TP19,0,科技大樓高樓管理辦公,1,1056,1
TP20,0,中山近晶華機能屋,1,1076,1
TN21,0,北區小資三房公寓,5,1070,1
TN22,0,市政阿曼三房平車,5,1091,1
TN23,0,四維新城高樓平車,5,1059,1
TN24,0,府前路朝南透天一樓店面,5,1035,1
TN25,0,【綠海】智能居家兩房平車,5,1077,1
TN26,0,湯山溫馨三房平車有家電,5,1077,1
TN27,0,安中路小資創業店面,5,1026,1
TN28,0,綠海都心面公園３房平車,5,1033,1
TN29,0,文南路好規劃大空間,5,1049,1
TN30,0,仁愛街優質店住,5,1042,1
TN31,0,成功路近火車站二樓,5,1072,1
TN32,0,臨安路大面寬角窗店面,5,1034,1
TN33,0,觀雲乙區朝南採光三房平車,5,1044,1
TN34,0,永大路高ＣＰ臨路邊透天,5,1028,1
TN35,0,商圈大面寬店住,5,1035,1
TN36,0,水交社高樓層三房平車,5,1077,1
TN37,0,陽光樹５樓全新商務宅,5,1055,1
TN38,0,陽光樹１２樓全新商務宅,5,1086,1
TN39,0,北門路約８米寬電梯金店面,5,1056,1
TN40,0,前後公園多套房店住,5,1066,1
HC41,0,東方明珠精美兩房車位,8,1032,1
HC42,0,仁風國宅三房美屋,8,1037,1
HC43,0,近園區高樓三房平面車位,8,1039,1
HC44,0,市中心獨棟３５０坪店辦,8,1057,1
HC45,0,新竹車站辦公大樓,8,1074,1
HC46,0,中正路舒適電梯套房Ａ,8,1038,1
HC47,0,中正路舒適電梯套房Ｂ,8,1064,1
HC48,0,空一四區大三房,8,1089,1
HC49,0,仁愛街１樓店面,8,1063,1
HC50,0,瑞典綠洲三房平面車位,8,1097,1
HC51,0,東京中城高品質住宅,8,1097,1
HC52,0,近園區寶睿三房,8,1092,1
HC53,0,近全聯漂亮套房,8,1072,1
HC54,0,近園區視野美三房平面車位,8,1052,1
HC55,0,孟竹國宅三房,8,1052,1
HC56,0,熱騰騰全新出爐博苑來了,8,1060,1
HC57,0,大塊文章公園溫馨四房,8,1045,1
HC58,0,全新質感設計３房含平車,8,1080,1
HC59,0,價格好談拜託來租致家人,8,1036,1
HC60,0,最愛大樓精美空間,8,1072,1
KL61,0,福五街稀有一樓歡迎參考,8,1056,1
