KH1,0,無,0,1,東北,13,有(日間),0,一年,1,1,1,1.1
KH2,0,無,0,1,東,4,無,0,一年,0,0,0,10.7
KH3,0,無,0,1,西南,14,有(全天),2391,一年,1,1,1,27.2
KH4,0,無,0,1,北,13,有(日間),1080,一年,1,1,0,5
KH5,0,無,1,0,南,5,無,0,一年,0,0,0,43.6
KH6,0,1個/坡道*機械,0,1,西南,13,有(全天),0,一年,0,0,0,19.4
KH7,0,無,0,1,西,6,無,1000,一年,1,0,1,1.5
KH8,0,無,1,1,東南,12,無,0,一年,1,1,1,29.5
KH9,0,1個/坡道*平面,0,1,北,11,有(全天),1352,一年,0,0,0,27.1
KH10,0,1個/坡道*平面,0,1,東北,13,有(全天),0,一年,0,0,0,7
KH11,0,1個/坡道*機械,0,1,南,22,無,0,半年,1,1,1,2.7
KH12,0,1個/坡道*機械,0,1,西,14,有(全天),2143,一年,1,1,1,2.6
KH13,0,無,1,1,西北,5,無,0,一年,0,0,0,42.4
KH14,0,無,0,0,南,5,無,0,半年,0,0,0,30.8
KH15,0,無,0,1,北,14,有(全天),1265,一年,0,0,0,8
KH16,0,1個/坡道*平面,0,1,北,15,有(全天),0,一年,1,1,1,8
KH17,0,無,,0,南,4,無,0,半年,0,0,0,9.4
KH18,0,1個/坡道*平面,0,1,東,15,有(全天),2213,一年,1,0,0,9.3
KH19,0,無,0,1,北,16,有(全天),1500,半年,1,1,1,29.9
KH20,0,無,0,1,西北,3,無,0,半年,0,0,0,29.9
NT21,0,無,0,1,西北,17,有(全天),0,一年,0,0,1,28.8
NT22,0,1個/坡道*平面,0,1,南,15,有(日間),3990,一年,1,1,0,7.4
NT23,0,無,0,0,東北,7,無,0,一年,1,1,1,9.1
NT24,0,無,0,1,西南,4,無,0,半年,0,0,0,29.9
NT25,0,無,0,1,西南,19,有(全天),1075,半年,0,0,1,13
NT26,0,1個/坡道*平面,0,1,西南,15,有(全天),0,一年,0,0,0,9.1
NT27,0,無,0,0,北,18,無,0,一年,0,0,0,9.1
NT28,0,無,1,1,東北,15,有(全天),3202,半年,0,0,0,0.6
NT29,0,無,1,1,東北,15,有(全天),3202,一年,0,0,0,0.6
NT30,0,無,1,1,北,19,有(全天),0,一年,0,0,0,15.9
NT31,0,無,0,1,西南,12,有(全天),1500,一年,0,0,0,37.4
NT32,0,1個/坡道*平面,1,1,東南,15,有(全天),0,一年,0,0,0,0.4
NT33,0,1個/坡道*平面,0,1,北,21,有(全天),0,一年,0,0,0,37.4
NT34,0,1個/坡道*平面,0,1,西,14,有(全天),3670,一年,1,1,1,6.4
NT35,0,無,0,0,西,5,無,0,一年,0,0,0,43.8
NT36,0,1個/坡道*平面,0,1,西北,14,有(全天),3300,一年,0,0,0,37.4
NT37,0,無,0,1,東北,12,有(日間),1260,半年,1,1,1,30.6
NT38,0,無,0,1,東南,27,有(全天),440,半年,0,0,0,37.4
NT39,0,無,0,1,東,7,無,0,一年,1,1,1,37.4
NT40,0,無,0,1,北,7,無,0,一年,0,0,0,32.3
TP1,0,無,0,0,西,7,無,0,一年,0,0,0,33.3
TP2,0,無,0,1,北,6,有(日間),1100,一年,0,1,0,26.1
TP3,0,無,1,0,北,6,無,1500,一年,0,1,1,25.9
TP4,0,無,0,1,西南,11,有(日間),3162,一年,1,1,1,10.7
TP5,0,1個/塔式車位,0,1,南,14,有(全天),4389,一年,0,1,1,17.1
TP6,0,無,0,0,北,12,有(全天),0,半年,0,0,0,42.1
TP7,0,無,1,1,西北,5,無,0,半年,0,0,0,35.1
TP8,0,3個/坡道*平面,0,0,西北,7,有(全天),11713,一年,0,0,0,26.5
TP9,0,1個/坡道*機械,0,1,北,14,無,0,一年,0,0,0,16
